wavelength(AA)   flux(mJy)   unc(mJy)   resolution(km/s)
4618.000     0.7371   0.0799   260.4
4619.000     0.7676   0.0800   260.4
4620.000     0.8500   0.0801   260.3
4621.000     0.7589   0.0802   260.3
4622.000     0.7479   0.0804   260.2
4623.000     0.8023   0.0805   260.1
4624.000     0.8986   0.0806   260.1
4625.000     0.7796   0.0807   260.0
4626.000     0.9780   0.0807   259.9
4627.000     0.8288   0.0807   259.9
4628.000     0.7662   0.0806   259.8
4629.000     0.7713   0.0806   259.7
4630.000     0.7511   0.0805   259.7
4631.000     0.8572   0.0803   259.6
4632.000     0.7787   0.0802   259.6
4633.000     0.7871   0.0800   259.5
4634.000     0.7474   0.0798   259.4
4635.000     0.9409   0.0796   259.4
4636.000     0.6419   0.0794   259.3
4637.000     0.7648   0.0792   259.2
4638.000     0.8207   0.0790   259.2
4639.000     0.8141   0.0789   259.1
4640.000     0.7912   0.0788   259.0
4641.000     0.8470   0.0787   259.0
4642.000     0.8066   0.0787   258.9
4643.000     0.7699   0.0786   258.8
4644.000     0.7026   0.0784   258.8
4645.000     0.8087   0.0782   258.7
4646.000     0.6947   0.0780   258.7
4647.000     0.6205   0.0778   258.6
4648.000     0.8525   0.0777   258.5
4649.000     0.7565   0.0777   258.5
4650.000     0.7399   0.0778   258.4
4651.000     0.7644   0.0780   258.3
4652.000     0.7714   0.0782   258.3
4653.000     0.7599   0.0785   258.2
4654.000     0.7737   0.0788   258.1
4655.000     0.8109   0.0792   258.1
4656.000     0.7848   0.0795   258.0
4657.000     0.8416   0.0799   258.0
4658.000     1.0035   0.0803   257.9
4659.000     0.8862   0.0806   257.8
4660.000     0.8469   0.0808   257.8
4661.000     0.8173   0.0808   257.7
4662.000     0.8380   0.0807   257.6
4663.000     0.8682   0.0803   257.6
4664.000     0.8347   0.0798   257.5
4665.000     0.8858   0.0791   257.4
4666.000     0.8706   0.0784   257.4
4667.000     0.7638   0.0778   257.3
4668.000     0.7381   0.0774   257.2
4669.000     0.8110   0.0772   257.2
4670.000     0.9031   0.0773   257.1
4671.000     0.6919   0.0775   257.1
4672.000     0.8158   0.0780   257.0
4673.000     0.7817   0.0786   256.9
4674.000     0.7797   0.0791   256.9
4675.000     0.7790   0.0796   256.8
4676.000     0.9261   0.0800   256.7
4677.000     0.8899   0.0803   256.7
4678.000     0.8172   0.0804   256.6
4679.000     0.7637   0.0804   256.5
4680.000     0.8792   0.0804   256.5
4681.000     0.8331   0.0804   256.4
4682.000     0.7694   0.0804   256.4
4683.000     0.7714   0.0804   256.3
4684.000     0.8267   0.0805   256.2
4685.000     0.6729   0.0806   256.2
4686.000     0.7963   0.0808   256.1
4687.000     0.7873   0.0810   256.0
4688.000     0.7656   0.0811   256.0
4689.000     0.8699   0.0813   255.9
4690.000     0.7524   0.0814   255.8
4691.000     0.8350   0.0815   255.8
4692.000     0.7853   0.0817   255.7
4693.000     0.7863   0.0818   255.6
4694.000     0.7794   0.0820   255.6
4695.000     1.0551   0.0820   255.5
4696.000     0.8283   0.0820   255.5
4697.000     0.7505   0.0819   255.4
4698.000     0.6849   0.0816   255.3
4699.000     0.6925   0.0813   255.3
4700.000     0.7288   0.0809   255.2
4701.000     0.7657   0.0805   255.1
4702.000     0.7847   0.0801   255.1
4703.000     0.8815   0.0798   255.0
4704.000     0.7569   0.0795   254.9
4705.000     0.8237   0.0794   254.9
4706.000     0.7910   0.0793   254.8
4707.000     0.8421   0.0794   254.8
4708.000     0.8354   0.0795   254.7
4709.000     0.7997   0.0797   254.6
4710.000     0.7918   0.0800   254.6
4711.000     0.9615   0.0803   254.5
4712.000     0.8161   0.0807   254.4
4713.000     0.7190   0.0812   254.4
4714.000     0.7690   0.0817   254.3
4715.000     0.6841   0.0822   254.2
4716.000     0.7733   0.0827   254.2
4717.000     0.7100   0.0832   254.1
4718.000     0.9234   0.0837   254.0
4719.000     1.0312   0.0842   254.0
4720.000     0.8697   0.0846   253.9
4721.000     0.7844   0.0849   253.9
4722.000     0.7875   0.0851   253.8
4723.000     0.7423   0.0851   253.7
4724.000     0.7314   0.0850   253.7
4725.000     0.8258   0.0847   253.6
4726.000     0.9291   0.0843   253.5
