wavelength(AA)   flux(mJy)   unc(mJy)   resolution(km/s)
6932.000     1.6458   0.1759   140.0
6933.000     1.8538   0.1760   140.0
6934.000     1.8255   0.1760   140.0
6935.000     1.4965   0.1761   140.0
6936.000     1.6212   0.1761   140.0
6937.000     2.0782   0.1763   140.0
6938.000     1.8115   0.1764   140.0
6939.000     1.9543   0.1766   140.0
6940.000     1.8233   0.1767   140.0
6941.000     1.5925   0.1767   140.0
6942.000     1.8790   0.1766   140.0
6943.000     1.8717   0.1764   140.0
6944.000     1.9448   0.1762   140.0
6945.000     1.9107   0.1759   140.0
6946.000     1.5799   0.1757   140.0
6947.000     1.8585   0.1756   140.0
6948.000     2.0239   0.1756   140.0
6949.000     1.4915   0.1758   140.0
6950.000     1.7795   0.1759   140.0
6951.000     1.7681   0.1761   140.0
6952.000     1.5789   0.1762   140.0
6953.000     1.6795   0.1763   140.0
6954.000     1.8455   0.1765   140.0
6955.000     2.1043   0.1766   140.0
6956.000     1.7480   0.1768   140.0
6957.000     1.7872   0.1772   140.0
6958.000     1.6858   0.1775   140.0
6959.000     1.4065   0.1779   140.0
6960.000     1.7506   0.1783   140.0
6961.000     1.6311   0.1786   140.0
6962.000     1.9688   0.1789   140.0
6963.000     1.4940   0.1791   140.0
6964.000     1.5979   0.1793   140.0
6965.000     1.8962   0.1795   140.0
6966.000     1.7591   0.1796   140.0
6967.000     1.8441   0.1797   140.0
6968.000     1.9106   0.1798   140.0
6969.000     1.6713   0.1799   140.0
6970.000     1.8645   0.1799   140.0
6971.000     1.7601   0.1798   140.0
6972.000     1.6815   0.1796   140.0
6973.000     1.7567   0.1793   140.0
6974.000     2.0081   0.1788   140.0
6975.000     1.5396   0.1781   140.0
6976.000     2.3688   0.1773   140.0
6977.000     2.0189   0.1765   140.0
6978.000     1.6532   0.1757   140.0
6979.000     1.7230   0.1751   140.0
6980.000     1.6882   0.1749   140.0
6981.000     1.7862   0.1751   140.0
6982.000     1.7802   0.1757   140.0
6983.000     1.9998   0.1765   140.0
6984.000     2.0465   0.1775   140.0
6985.000     1.9815   0.1784   140.0
6986.000     1.7607   0.1792   140.0
6987.000     1.8276   0.1797   140.0
6988.000     1.6772   0.1800   140.0
6989.000     1.6911   0.1802   140.0
6990.000     2.0701   0.1803   140.0
6991.000     1.9108   0.1804   140.0
6992.000     1.6370   0.1805   140.0
6993.000     2.0041   0.1806   140.0
6994.000     1.8396   0.1807   140.0
6995.000     2.0562   0.1808   140.0
6996.000     1.7108   0.1808   140.0
6997.000     1.7180   0.1807   140.0
6998.000     1.8769   0.1804   140.0
6999.000     1.8794   0.1800   140.0
7000.000     1.7480   0.1791   140.0
